CRASH DATE,CRASH TIME,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,Count
12/31/2019,0:37,MANHATTAN,Driver Inattention/Distraction,1
12/31/2019,15:00,,Driver Inattention/Distraction,1
12/31/2019,17:40,,Following Too Closely,1
12/31/2019,19:30,,Turning Improperly,1
12/31/2019,7:00,QUEENS,Failure to Yield Right-of-Way,1
12/31/2019,11:19,QUEENS,Driver Inattention/Distraction,1
12/31/2019,16:51,BROOKLYN,Failure to Yield Right-of-Way,1
12/31/2019,17:00,,Unspecified,1
12/31/2019,22:05,,Driver Inattention/Distraction,1
12/31/2019,12:15,BROOKLYN,Backing Unsafely,1
12/31/2019,21:37,BROOKLYN,Unspecified,1
12/31/2019,18:41,BRONX,Driver Inattention/Distraction,1
12/31/2019,15:26,BROOKLYN,Backing Unsafely,1
12/31/2019,6:59,BRONX,Pavement Slippery,1
12/31/2019,14:30,STATEN ISLAND,Driver Inattention/Distraction,1
12/31/2019,6:20,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,17:30,QUEENS,Failure to Yield Right-of-Way,1
12/31/2019,8:40,,Following Too Closely,1
12/31/2019,12:15,,View Obstructed/Limited,1
12/31/2019,9:27,,Driver Inattention/Distraction,1
12/31/2019,9:03,BROOKLYN,View Obstructed/Limited,1
12/31/2019,22:00,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,18:00,QUEENS,Driver Inattention/Distraction,1
12/31/2019,13:50,BRONX,Other Vehicular,1
12/31/2019,11:30,BROOKLYN,Unspecified,1
12/31/2019,23:40,MANHATTAN,Unspecified,1
12/31/2019,7:55,QUEENS,Turning Improperly,1
12/31/2019,15:45,MANHATTAN,Unsafe Lane Changing,1
12/31/2019,21:25,BROOKLYN,Unspecified,1
12/31/2019,17:35,,Turning Improperly,1
12/31/2019,16:37,QUEENS,Driver Inattention/Distraction,1
12/31/2019,13:20,BRONX,Traffic Control Disregarded,1
12/31/2019,14:37,MANHATTAN,Passing or Lane Usage Improper,1
12/31/2019,19:25,,Unspecified,1
12/31/2019,20:10,,Driver Inattention/Distraction,1
12/31/2019,14:55,BRONX,Other Vehicular,1
12/31/2019,17:05,,Following Too Closely,1
12/31/2019,18:54,,Backing Unsafely,1
12/31/2019,12:20,,Passing or Lane Usage Improper,1
12/31/2019,20:40,,Unspecified,1
12/31/2019,22:35,,Failure to Yield Right-of-Way,1
12/31/2019,10:30,QUEENS,Driver Inattention/Distraction,1
12/31/2019,8:25,,Driver Inattention/Distraction,1
12/31/2019,12:00,,Backing Unsafely,1
12/31/2019,23:00,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,15:15,,Following Too Closely,1
12/31/2019,9:11,,Unspecified,1
12/31/2019,10:49,QUEENS,Other Vehicular,1
12/31/2019,18:00,,Following Too Closely,1
12/31/2019,13:40,,Unspecified,1
12/31/2019,20:40,QUEENS,Other Vehicular,1
12/31/2019,23:10,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,18:00,BROOKLYN,Unspecified,1
12/31/2019,19:45,BRONX,Unspecified,1
12/31/2019,13:00,QUEENS,Failure to Yield Right-of-Way,1
12/31/2019,11:35,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,7:30,,Driver Inattention/Distraction,1
12/31/2019,0:00,MANHATTAN,Unspecified,1
12/31/2019,16:00,BROOKLYN,View Obstructed/Limited,1
12/31/2019,20:00,,Unspecified,1
12/31/2019,22:24,,Following Too Closely,1
12/31/2019,19:11,,Following Too Closely,1
12/31/2019,16:30,BROOKLYN,Unspecified,1
12/31/2019,17:40,BROOKLYN,Passing or Lane Usage Improper,1
12/31/2019,12:00,BROOKLYN,Passing or Lane Usage Improper,1
12/31/2019,21:15,,Other Vehicular,1
12/31/2019,20:51,,Driver Inattention/Distraction,1
12/31/2019,17:10,BRONX,Unspecified,1
12/31/2019,16:51,,Driver Inattention/Distraction,1
12/31/2019,12:15,BRONX,Oversized Vehicle,1
12/31/2019,20:00,BRONX,Unspecified,1
12/31/2019,12:30,QUEENS,Failure to Yield Right-of-Way,1
12/31/2019,10:00,,Passing or Lane Usage Improper,1
12/31/2019,23:05,,Outside Car Distraction,1
12/31/2019,15:40,QUEENS,Following Too Closely,1
12/31/2019,14:25,,Driver Inattention/Distraction,1
12/31/2019,15:30,,Passing Too Closely,1
12/31/2019,20:30,BROOKLYN,Unspecified,1
12/31/2019,18:08,,Following Too Closely,1
12/31/2019,11:00,MANHATTAN,Driver Inexperience,1
12/31/2019,19:45,BRONX,Unspecified,1
12/31/2019,9:30,BROOKLYN,Unspecified,1
12/31/2019,21:00,BRONX,Unspecified,1
12/31/2019,17:50,,Passing or Lane Usage Improper,1
12/31/2019,13:30,,Unspecified,1
12/31/2019,8:00,MANHATTAN,Alcohol Involvement,1
12/31/2019,0:00,,Aggressive Driving/Road Rage,1
12/31/2019,19:36,,Traffic Control Disregarded,1
12/31/2019,22:15,BRONX,Unsafe Lane Changing,1
12/31/2019,14:50,QUEENS,Unspecified,1
12/31/2019,15:10,BRONX,Unspecified,1
12/31/2019,11:55,QUEENS,Driver Inattention/Distraction,1
12/31/2019,3:07,QUEENS,Driver Inattention/Distraction,1
12/31/2019,16:00,,Unspecified,1
12/31/2019,14:30,BROOKLYN,Unspecified,1
12/31/2019,12:51,QUEENS,Unspecified,1
12/31/2019,17:15,BRONX,Unspecified,1
12/31/2019,6:00,MANHATTAN,Alcohol Involvement,1
12/31/2019,21:47,MANHATTAN,Failure to Yield Right-of-Way,1
12/31/2019,9:36,BRONX,Unspecified,1
12/31/2019,13:59,BROOKLYN,Unspecified,1
12/31/2019,20:30,,Failure to Yield Right-of-Way,1
12/31/2019,19:10,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,8:15,,Illnes,1
12/31/2019,19:50,,Failure to Yield Right-of-Way,1
12/31/2019,17:30,,Driver Inattention/Distraction,1
12/31/2019,18:30,,Following Too Closely,1
12/31/2019,11:45,,Unspecified,1
12/31/2019,11:20,BROOKLYN,Failure to Yield Right-of-Way,1
12/31/2019,23:20,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,9:00,QUEENS,Unspecified,1
12/31/2019,13:24,BROOKLYN,Following Too Closely,1
12/31/2019,7:30,,Turning Improperly,1
12/31/2019,16:29,BROOKLYN,Unspecified,1
12/31/2019,14:45,,Following Too Closely,1
12/31/2019,22:01,MANHATTAN,Failure to Yield Right-of-Way,1
12/31/2019,18:00,QUEENS,Driver Inattention/Distraction,1
12/31/2019,21:32,QUEENS,Failure to Yield Right-of-Way,1
12/31/2019,23:55,,Driver Inattention/Distraction,1
12/31/2019,20:30,QUEENS,Unspecified,1
12/31/2019,19:00,MANHATTAN,Illnes,1
12/31/2019,22:30,QUEENS,Backing Unsafely,1
12/31/2019,0:34,QUEENS,Unsafe Lane Changing,1
12/31/2019,13:00,,Unsafe Lane Changing,1
12/31/2019,9:00,QUEENS,Other Vehicular,1
12/31/2019,14:40,,Driver Inexperience,1
12/31/2019,12:15,QUEENS,Lost Consciousness,1
12/31/2019,13:20,BROOKLYN,Lane Marking Improper/Inadequate,1
12/31/2019,20:35,BRONX,Failure to Yield Right-of-Way,1
12/31/2019,17:35,,Following Too Closely,1
12/31/2019,20:09,BROOKLYN,Passing or Lane Usage Improper,1
12/31/2019,20:50,,Failure to Yield Right-of-Way,1
12/31/2019,21:39,BRONX,Driver Inattention/Distraction,1
12/31/2019,17:11,,Failure to Yield Right-of-Way,1
12/31/2019,18:41,,Backing Unsafely,1
12/31/2019,22:45,QUEENS,Outside Car Distraction,1
12/31/2019,6:42,BROOKLYN,Reaction to Uninvolved Vehicle,1
12/31/2019,14:35,BROOKLYN,Following Too Closely,1
12/31/2019,16:00,QUEENS,Driver Inexperience,1
12/31/2019,21:49,BROOKLYN,Driver Inexperience,1
12/31/2019,19:50,BROOKLYN,Unspecified,1
12/31/2019,18:00,,Aggressive Driving/Road Rage,1
12/31/2019,12:26,BRONX,Backing Unsafely,1
12/31/2019,13:52,,Driver Inattention/Distraction,1
12/31/2019,23:21,BROOKLYN,Alcohol Involvement,1
12/31/2019,15:30,QUEENS,Following Too Closely,1
12/31/2019,6:20,QUEENS,Unspecified,1
12/31/2019,0:00,MANHATTAN,Unspecified,1
12/31/2019,8:50,,Passing Too Closely,1
12/31/2019,9:15,,Unsafe Lane Changing,1
12/31/2019,7:30,BROOKLYN,Unspecified,1
12/31/2019,18:30,MANHATTAN,Reaction to Uninvolved Vehicle,1
12/31/2019,9:10,QUEENS,Traffic Control Disregarded,1
12/31/2019,11:30,QUEENS,Unspecified,1
12/31/2019,17:41,,Unspecified,1
12/31/2019,0:00,BRONX,Reaction to Uninvolved Vehicle,1
12/31/2019,17:06,BROOKLYN,Unspecified,1
12/31/2019,17:56,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,19:40,,Failure to Yield Right-of-Way,1
12/31/2019,19:00,MANHATTAN,Driver Inexperience,1
12/31/2019,12:00,MANHATTAN,Unspecified,1
12/31/2019,15:45,QUEENS,Brakes Defective,1
12/31/2019,22:10,BRONX,Aggressive Driving/Road Rage,1
12/31/2019,3:00,MANHATTAN,Passing Too Closely,1
12/31/2019,16:40,BRONX,Following Too Closely,1
12/31/2019,10:48,,Backing Unsafely,1
12/31/2019,20:00,QUEENS,Driver Inattention/Distraction,1
12/31/2019,13:45,,Driver Inattention/Distraction,1
12/31/2019,19:25,QUEENS,Failure to Yield Right-of-Way,1
12/31/2019,23:15,,Unspecified,1
12/31/2019,18:05,BROOKLYN,Unspecified,1
12/31/2019,10:40,MANHATTAN,Unspecified,1
12/31/2019,19:04,,Unsafe Lane Changing,1
12/31/2019,8:30,BROOKLYN,Unspecified,1
12/31/2019,17:30,,Other Vehicular,1
12/31/2019,15:19,BRONX,Following Too Closely,1
12/31/2019,22:56,,Unspecified,1
12/31/2019,14:07,,Following Too Closely,1
12/31/2019,15:09,,Following Too Closely,1
12/31/2019,20:30,QUEENS,Unspecified,1
12/31/2019,0:07,,Driver Inattention/Distraction,1
12/31/2019,0:30,,Driver Inattention/Distraction,1
12/31/2019,22:22,BROOKLYN,Unspecified,1
12/31/2019,17:44,MANHATTAN,Failure to Yield Right-of-Way,1
12/31/2019,13:30,,Driver Inattention/Distraction,1
12/31/2019,16:50,BROOKLYN,Unspecified,1
12/31/2019,11:21,BRONX,Unspecified,1
12/31/2019,7:30,BRONX,Unspecified,1
12/31/2019,12:10,,Passing or Lane Usage Improper,1
12/31/2019,7:45,MANHATTAN,Driver Inattention/Distraction,1
12/31/2019,16:30,QUEENS,Failure to Yield Right-of-Way,1
12/31/2019,11:00,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,12:00,BROOKLYN,Unspecified,1
12/31/2019,21:30,BROOKLYN,Backing Unsafely,1
12/31/2019,19:15,BROOKLYN,Unsafe Speed,1
12/31/2019,19:07,,Unsafe Lane Changing,1
12/31/2019,19:00,QUEENS,Backing Unsafely,1
12/31/2019,15:30,,Driver Inattention/Distraction,1
12/31/2019,14:40,QUEENS,Turning Improperly,1
12/31/2019,21:15,BROOKLYN,Pavement Slippery,1
12/31/2019,9:00,,Unspecified,1
12/31/2019,11:45,BRONX,Unspecified,1
12/31/2019,20:00,QUEENS,Unspecified,1
12/31/2019,12:50,QUEENS,Driver Inattention/Distraction,1
12/31/2019,10:15,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,14:45,,Following Too Closely,1
12/31/2019,16:25,,Driver Inattention/Distraction,1
12/31/2019,4:30,,Obstruction/Debris,1
12/31/2019,23:00,QUEENS,Driver Inattention/Distraction,1
12/31/2019,6:10,,Driver Inattention/Distraction,1
12/31/2019,9:35,QUEENS,Passing Too Closely,1
12/31/2019,13:04,BROOKLYN,Obstruction/Debris,1
12/31/2019,17:00,QUEENS,Unsafe Lane Changing,1
12/31/2019,20:30,BRONX,Unsafe Lane Changing,1
12/31/2019,9:00,BROOKLYN,Failure to Yield Right-of-Way,1
12/31/2019,18:30,QUEENS,Unspecified,1
12/31/2019,14:30,QUEENS,Backing Unsafely,1
12/31/2019,20:55,QUEENS,Steering Failure,1
12/31/2019,22:30,QUEENS,Failure to Yield Right-of-Way,1
12/31/2019,13:24,BRONX,Driver Inattention/Distraction,1
12/31/2019,15:35,QUEENS,Failure to Yield Right-of-Way,1
12/31/2019,11:55,QUEENS,Passing Too Closely,1
12/31/2019,21:25,BRONX,Driver Inattention/Distraction,1
12/31/2019,14:50,,Following Too Closely,1
12/31/2019,8:00,,Failure to Yield Right-of-Way,1
12/31/2019,13:46,BROOKLYN,Backing Unsafely,1
12/31/2019,8:15,MANHATTAN,Unspecified,1
12/31/2019,1:10,BROOKLYN,Failure to Yield Right-of-Way,1
12/31/2019,14:35,,Unspecified,1
12/31/2019,21:00,BROOKLYN,Unspecified,1
12/31/2019,23:15,,,1
12/31/2019,0:00,,Passing Too Closely,1
12/31/2019,21:10,BRONX,Unspecified,1
12/31/2019,19:40,BROOKLYN,Unspecified,1
12/31/2019,11:35,QUEENS,Driver Inattention/Distraction,1
12/31/2019,9:55,QUEENS,Driver Inattention/Distraction,1
12/31/2019,13:55,,Failure to Yield Right-of-Way,1
12/31/2019,23:30,BROOKLYN,,1
12/31/2019,0:00,BROOKLYN,Passing or Lane Usage Improper,1
12/31/2019,16:30,BRONX,Unsafe Lane Changing,1
12/31/2019,11:55,,Driver Inattention/Distraction,1
12/31/2019,13:05,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,19:30,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,17:32,,Alcohol Involvement,1
12/31/2019,17:14,BRONX,Unspecified,1
12/31/2019,15:00,,Following Too Closely,1
12/31/2019,20:47,,Unsafe Lane Changing,1
12/31/2019,18:30,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,22:30,,Unspecified,1
12/31/2019,20:00,,Unspecified,1
12/31/2019,14:30,,Driver Inattention/Distraction,1
12/31/2019,10:15,,Unspecified,1
12/31/2019,8:20,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,6:15,BRONX,Driver Inattention/Distraction,1
12/31/2019,15:15,,Passing Too Closely,1
12/31/2019,10:54,QUEENS,Driver Inattention/Distraction,1
12/31/2019,9:30,,Backing Unsafely,1
12/31/2019,22:00,BROOKLYN,Unspecified,1
12/31/2019,20:40,BROOKLYN,Unspecified,1
12/31/2019,19:46,,Driver Inattention/Distraction,1
12/31/2019,18:00,,Following Too Closely,1
12/31/2019,13:30,QUEENS,Unspecified,1
12/31/2019,7:45,MANHATTAN,Passing or Lane Usage Improper,1
12/31/2019,16:00,QUEENS,Unspecified,1
12/31/2019,19:35,BRONX,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,1
12/31/2019,2:30,BRONX,Backing Unsafely,1
12/31/2019,7:15,,Driver Inattention/Distraction,1
12/31/2019,16:30,QUEENS,Driver Inattention/Distraction,1
12/31/2019,14:40,QUEENS,Driver Inattention/Distraction,1
12/31/2019,20:05,,Unspecified,1
12/31/2019,17:06,,Alcohol Involvement,1
12/31/2019,21:40,QUEENS,,1
12/31/2019,12:10,QUEENS,Unspecified,1
12/31/2019,15:20,BROOKLYN,Failure to Yield Right-of-Way,1
12/31/2019,6:35,MANHATTAN,Driver Inattention/Distraction,1
12/31/2019,8:30,,Unspecified,1
12/31/2019,17:30,BROOKLYN,Unspecified,1
12/31/2019,12:20,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,9:25,BROOKLYN,Unspecified,1
12/31/2019,18:30,BROOKLYN,Traffic Control Disregarded,1
12/31/2019,14:00,MANHATTAN,Turning Improperly,1
12/31/2019,11:30,,Following Too Closely,1
12/31/2019,12:30,QUEENS,Driver Inattention/Distraction,1
12/31/2019,18:06,QUEENS,Traffic Control Disregarded,1
12/31/2019,17:50,QUEENS,Driver Inattention/Distraction,1
12/31/2019,11:44,BRONX,Driver Inattention/Distraction,1
12/31/2019,9:00,,Driver Inattention/Distraction,1
12/31/2019,13:35,MANHATTAN,Unspecified,1
12/31/2019,22:07,,Following Too Closely,1
12/31/2019,4:10,,Unsafe Speed,1
12/31/2019,15:50,,Unspecified,1
12/31/2019,21:24,,Driver Inattention/Distraction,1
12/31/2019,8:50,,Reaction to Uninvolved Vehicle,1
12/31/2019,14:47,,Following Too Closely,1
12/31/2019,19:03,,Other Vehicular,1
12/31/2019,14:44,BROOKLYN,Unspecified,1
12/31/2019,20:20,BRONX,Driver Inattention/Distraction,1
12/31/2019,12:20,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,12:42,MANHATTAN,Following Too Closely,1
12/31/2019,23:00,BRONX,Following Too Closely,1
12/31/2019,17:25,MANHATTAN,Unspecified,1
12/31/2019,14:00,,Following Too Closely,1
12/31/2019,18:22,BROOKLYN,Driver Inattention/Distraction,1
12/31/2019,0:16,,Unspecified,1
12/31/2019,8:20,MANHATTAN,Unspecified,1
12/31/2019,20:55,,Driver Inattention/Distraction,1
12/31/2019,16:05,BRONX,Passing Too Closely,1
12/31/2019,11:21,,Unsafe Lane Changing,1
12/31/2019,16:20,BROOKLYN,Unspecified,1
12/31/2019,0:00,QUEENS,Failure to Yield Right-of-Way,1
12/31/2019,22:21,,Driver Inattention/Distraction,1
12/31/2019,11:46,,Failure to Yield Right-of-Way,1
12/31/2019,21:30,QUEENS,Unspecified,1
12/31/2019,14:53,,Driver Inattention/Distraction,1
12/31/2019,15:05,,Following Too Closely,1
12/31/2019,17:00,MANHATTAN,Following Too Closely,1
12/31/2019,19:17,,Unspecified,1
12/31/2019,0:30,MANHATTAN,Driver Inattention/Distraction,1
12/31/2019,17:38,,Unspecified,1
12/31/2019,20:54,MANHATTAN,Unspecified,1
12/31/2019,18:45,STATEN ISLAND,Driver Inattention/Distraction,1
12/31/2019,1:30,,Unspecified,1
12/31/2019,22:49,BROOKLYN,Aggressive Driving/Road Rage,1
12/31/2019,12:35,BRONX,Unspecified,1
12/31/2019,10:00,BROOKLYN,Unspecified,1
12/31/2019,15:30,BROOKLYN,Failure to Yield Right-of-Way,1
12/31/2019,15:30,,Unspecified,1
12/31/2019,9:40,QUEENS,Passing or Lane Usage Improper,1
12/31/2019,11:15,,Driver Inattention/Distraction,1
12/31/2019,13:46,BROOKLYN,Backing Unsafely,1
12/31/2019,8:00,,Failure to Yield Right-of-Way,1
12/31/2019,19:56,BROOKLYN,Unspecified,1
12/31/2019,9:30,QUEENS,Traffic Control Disregarded,1
