CrashDate,CrashTime,Borough,Cause,Count,Code
2/14/2020,9:29,BROOKLYN,Unspecified,1,A97
2/14/2020,13:06,BROOKLYN,Passing Too Closely,1,A98
2/14/2020,16:00,MANHATTAN,Oversized Vehicle,1,A99
2/14/2020,17:00,QUEENS,Driver Inattention/Distraction,1,A100
2/14/2020,10:05,MANHATTAN,Backing Unsafely,1,A101
2/14/2020,13:24,BROOKLYN,Driver Inattention/Distraction,1,A102
2/14/2020,19:45,Unspecified,Following Too Closely,1,A103
2/14/2020,19:20,Unspecified,Following Too Closely,1,A104
2/14/2020,6:30,BRONX,Oversized Vehicle,1,A105
2/14/2020,14:50,Unspecified,Driver Inattention/Distraction,1,A106
2/14/2020,9:07,BROOKLYN,Unspecified,1,A107
2/14/2020,0:00,BROOKLYN,Driver Inattention/Distraction,1,A108
2/14/2020,10:45,Unspecified,Unspecified,1,A109
2/14/2020,17:44,Unspecified,Other Vehicular,1,A110
2/14/2020,19:36,Unspecified,Following Too Closely,1,A111
2/14/2020,9:53,QUEENS,Unspecified,1,A112
2/14/2020,20:05,Unspecified,Unspecified,1,A113
2/14/2020,12:07,Unspecified,Driver Inattention/Distraction,1,A114
2/14/2020,20:35,Unspecified,Traffic Control Disregarded,1,A115
2/14/2020,15:06,Unspecified,Following Too Closely,1,A116
2/14/2020,17:09,MANHATTAN,Unspecified,1,A117
2/14/2020,11:15,MANHATTAN,Following Too Closely,1,A118
2/14/2020,15:50,Unspecified,Driver Inattention/Distraction,1,A119
2/14/2020,22:15,MANHATTAN,Following Too Closely,1,A120
2/14/2020,8:40,Unspecified,Unspecified,1,A121
2/14/2020,18:00,QUEENS,Accelerator Defective,1,A122
2/14/2020,11:50,Unspecified,Tire Failure/Inadequate,1,A123
2/14/2020,14:30,QUEENS,Unspecified,1,A124
2/14/2020,16:15,BROOKLYN,Unspecified,1,A125
2/14/2020,10:00,Unspecified,Driver Inexperience,1,A126
2/14/2020,21:20,Unspecified,Driver Inattention/Distraction,1,A127
2/14/2020,2:26,Unspecified,Unsafe Lane Changing,1,A128
2/14/2020,13:20,BROOKLYN,Unspecified,1,A129
2/14/2020,15:40,QUEENS,Following Too Closely,1,A130
2/14/2020,13:00,MANHATTAN,Following Too Closely,1,A131
2/14/2020,18:35,QUEENS,Driver Inattention/Distraction,1,A132
2/14/2020,19:50,Unspecified,Failure to Yield Right-of-Way,1,A133
2/14/2020,10:15,Unspecified,Unspecified,1,A134
2/14/2020,16:35,BRONX,Unspecified,1,A135
2/14/2020,16:20,QUEENS,Driver Inattention/Distraction,1,A136
2/14/2020,23:06,Unspecified,Following Too Closely,1,A137
2/14/2020,19:30,BROOKLYN,Driver Inattention/Distraction,1,A138
2/14/2020,7:02,Unspecified,Unspecified,1,A139
2/14/2020,12:35,QUEENS,Following Too Closely,1,A140
2/14/2020,18:37,BROOKLYN,Passing or Lane Usage Improper,1,A141
2/14/2020,23:50,Unspecified,Reaction to Uninvolved Vehicle,1,A142
2/14/2020,14:45,BRONX,Unspecified,1,A143
2/14/2020,15:10,QUEENS,Unspecified,1,A144
2/14/2020,10:50,BROOKLYN,Following Too Closely,1,A145
2/14/2020,14:51,Unspecified,Unsafe Lane Changing,1,A146
2/14/2020,9:14,Unspecified,Driver Inattention/Distraction,1,A147
2/14/2020,23:00,QUEENS,Turning Improperly,1,A148
2/14/2020,20:40,BROOKLYN,Traffic Control Disregarded,1,A149
2/14/2020,0:24,MANHATTAN,Driver Inattention/Distraction,1,A150
2/14/2020,11:20,Unspecified,Following Too Closely,1,A151
2/14/2020,9:19,QUEENS,Driver Inattention/Distraction,1,A152
2/14/2020,18:28,Unspecified,Driver Inattention/Distraction,1,A153
2/14/2020,17:58,QUEENS,Driver Inattention/Distraction,1,A154
2/14/2020,10:59,QUEENS,Passing Too Closely,1,A155
2/14/2020,18:08,QUEENS,Driver Inattention/Distraction,1,A156
