CRASH DATE,CRASH TIME,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,Count
1/13/2020,3:20,,Driver Inattention/Distraction,1
1/13/2020,19:25,BROOKLYN,Unspecified,1
1/13/2020,13:05,,Following Too Closely,1
1/13/2020,6:30,BRONX,Unspecified,1
1/13/2020,7:00,BRONX,Unspecified,1
1/13/2020,11:00,QUEENS,Passing Too Closely,1
1/13/2020,17:20,QUEENS,Driver Inattention/Distraction,1
1/13/2020,11:30,MANHATTAN,Passing Too Closely,1
1/13/2020,17:00,BROOKLYN,Passing Too Closely,1
1/13/2020,6:35,,Passing Too Closely,1
1/13/2020,15:15,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,14:16,BROOKLYN,Following Too Closely,1
1/13/2020,13:00,BROOKLYN,Other Vehicular,1
1/13/2020,16:12,BROOKLYN,Unspecified,1
1/13/2020,8:30,QUEENS,Unspecified,1
1/13/2020,7:30,BROOKLYN,Passing or Lane Usage Improper,1
1/13/2020,17:33,QUEENS,Other Vehicular,1
1/13/2020,14:00,BROOKLYN,Following Too Closely,1
1/13/2020,18:36,,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,1
1/13/2020,10:35,,Failure to Yield Right-of-Way,1
1/13/2020,18:00,,Driver Inattention/Distraction,1
1/13/2020,9:25,BROOKLYN,Driver Inattention/Distraction,1
1/13/2020,18:59,BROOKLYN,Following Too Closely,1
1/13/2020,13:16,,Unspecified,1
1/13/2020,0:00,QUEENS,Unspecified,1
1/13/2020,20:20,BROOKLYN,Following Too Closely,1
1/13/2020,12:00,,Unspecified,1
1/13/2020,7:39,,Following Too Closely,1
1/13/2020,21:30,BRONX,Driver Inattention/Distraction,1
1/13/2020,12:44,BRONX,Unspecified,1
1/13/2020,10:45,MANHATTAN,Driver Inattention/Distraction,1
1/13/2020,16:47,BROOKLYN,Passing Too Closely,1
1/13/2020,9:15,BRONX,Unspecified,1
1/13/2020,19:10,,Driver Inattention/Distraction,1
1/13/2020,15:00,,Other Vehicular,1
1/13/2020,8:00,,Unspecified,1
1/13/2020,5:50,QUEENS,Passing or Lane Usage Improper,1
1/13/2020,20:00,,Other Vehicular,1
1/13/2020,22:00,BRONX,Unspecified,1
1/13/2020,7:13,,Driver Inattention/Distraction,1
1/13/2020,1:35,QUEENS,Unspecified,1
1/13/2020,15:00,MANHATTAN,Backing Unsafely,1
1/13/2020,13:30,BROOKLYN,Driver Inattention/Distraction,1
1/13/2020,11:45,MANHATTAN,Traffic Control Disregarded,1
1/13/2020,4:45,QUEENS,Unsafe Speed,1
1/13/2020,8:00,BROOKLYN,Failure to Yield Right-of-Way,1
1/13/2020,14:50,QUEENS,Brakes Defective,1
1/13/2020,8:50,QUEENS,Driver Inattention/Distraction,1
1/13/2020,17:58,QUEENS,Driver Inattention/Distraction,1
1/13/2020,10:20,,Passing or Lane Usage Improper,1
1/13/2020,17:30,QUEENS,Following Too Closely,1
1/13/2020,16:35,QUEENS,Unspecified,1
1/13/2020,0:00,,Driver Inattention/Distraction,1
1/13/2020,8:30,QUEENS,Turning Improperly,1
1/13/2020,8:45,QUEENS,Driver Inattention/Distraction,1
1/13/2020,18:30,,Reaction to Uninvolved Vehicle,1
1/13/2020,22:42,BROOKLYN,Passing or Lane Usage Improper,1
1/13/2020,15:00,,Unspecified,1
1/13/2020,20:34,QUEENS,Driver Inattention/Distraction,1
1/13/2020,12:50,MANHATTAN,Steering Failure,1
1/13/2020,21:40,BROOKLYN,Driver Inattention/Distraction,1
1/13/2020,11:50,BROOKLYN,Other Vehicular,1
1/13/2020,15:45,BROOKLYN,Driver Inattention/Distraction,1
1/13/2020,7:15,,Aggressive Driving/Road Rage,1
1/13/2020,10:40,MANHATTAN,Passing or Lane Usage Improper,1
1/13/2020,6:40,,Driver Inattention/Distraction,1
1/13/2020,20:50,STATEN ISLAND,Driver Inattention/Distraction,1
1/13/2020,6:20,,Following Too Closely,1
1/13/2020,22:00,BROOKLYN,Unspecified,1
1/13/2020,8:25,,Following Too Closely,1
1/13/2020,7:00,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,11:17,BRONX,Driver Inattention/Distraction,1
1/13/2020,9:11,BROOKLYN,Failure to Yield Right-of-Way,1
1/13/2020,17:37,BRONX,Failure to Yield Right-of-Way,1
1/13/2020,3:57,MANHATTAN,Backing Unsafely,1
1/13/2020,1:40,QUEENS,Driver Inexperience,1
1/13/2020,0:00,,Driver Inattention/Distraction,1
1/13/2020,7:41,,Driver Inattention/Distraction,1
1/13/2020,17:04,,Driver Inattention/Distraction,1
1/13/2020,23:08,,Failure to Yield Right-of-Way,1
1/13/2020,8:45,QUEENS,Backing Unsafely,1
1/13/2020,16:00,BROOKLYN,Unspecified,1
1/13/2020,12:10,,Driver Inattention/Distraction,1
1/13/2020,12:18,,Unspecified,1
1/13/2020,13:00,QUEENS,Unspecified,1
1/13/2020,9:30,MANHATTAN,Unspecified,1
1/13/2020,16:45,,Following Too Closely,1
1/13/2020,11:00,,Driver Inattention/Distraction,1
1/13/2020,23:50,BROOKLYN,Traffic Control Disregarded,1
1/13/2020,14:30,,Following Too Closely,1
1/13/2020,6:43,BROOKLYN,Passing Too Closely,1
1/13/2020,17:50,QUEENS,Driver Inattention/Distraction,1
1/13/2020,7:20,,Driver Inattention/Distraction,1
1/13/2020,6:30,,Driver Inattention/Distraction,1
1/13/2020,8:15,BROOKLYN,Unspecified,1
1/13/2020,14:00,QUEENS,Unspecified,1
1/13/2020,18:10,,Driver Inattention/Distraction,1
