CRASH DATE,CRASH TIME,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,Count
12/24/2019,9:15,,Backing Unsafely,1
12/24/2019,7:30,,Driver Inattention/Distraction,1
12/24/2019,15:00,QUEENS,Driver Inattention/Distraction,1
12/24/2019,11:45,BRONX,Driver Inattention/Distraction,1
12/24/2019,14:40,,View Obstructed/Limited,1
12/24/2019,11:17,BRONX,Unspecified,1
12/24/2019,17:40,QUEENS,Failure to Yield Right-of-Way,1
12/24/2019,10:20,,Driver Inattention/Distraction,1
12/24/2019,15:00,,Failure to Yield Right-of-Way,1
12/24/2019,12:00,MANHATTAN,Unspecified,1
12/24/2019,13:34,MANHATTAN,Driver Inattention/Distraction,1
12/24/2019,17:00,,Following Too Closely,1
12/24/2019,13:30,MANHATTAN,Unspecified,1
12/24/2019,18:05,BROOKLYN,Passing or Lane Usage Improper,1
12/24/2019,9:30,,Pavement Slippery,1
12/24/2019,13:00,,Unspecified,1
12/24/2019,1:15,QUEENS,Driver Inattention/Distraction,1
12/24/2019,20:09,QUEENS,Passing or Lane Usage Improper,1
12/24/2019,15:41,BROOKLYN,Other Vehicular,1
12/24/2019,15:50,,Failure to Yield Right-of-Way,1
12/24/2019,0:00,QUEENS,Driver Inattention/Distraction,1
12/24/2019,3:59,,Unspecified,1
12/24/2019,8:00,MANHATTAN,Unspecified,1
12/24/2019,12:40,MANHATTAN,Unspecified,1
12/24/2019,11:15,QUEENS,Unspecified,1
12/24/2019,17:15,QUEENS,,1
12/24/2019,7:04,MANHATTAN,Unspecified,1
12/24/2019,22:45,,Failure to Yield Right-of-Way,1
12/24/2019,11:40,,Unspecified,1
12/24/2019,17:30,BROOKLYN,Following Too Closely,1
12/24/2019,9:30,BRONX,Backing Unsafely,1
12/24/2019,10:31,QUEENS,Backing Unsafely,1
12/24/2019,14:57,,Driver Inattention/Distraction,1
12/24/2019,14:40,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,7:30,BROOKLYN,Unspecified,1
12/24/2019,18:45,,Driver Inattention/Distraction,1
12/24/2019,20:20,BROOKLYN,Following Too Closely,1
12/24/2019,8:45,BROOKLYN,Following Too Closely,1
12/24/2019,14:02,,Failure to Yield Right-of-Way,1
12/24/2019,14:30,QUEENS,Failure to Yield Right-of-Way,1
12/24/2019,21:00,,Reaction to Uninvolved Vehicle,1
12/24/2019,10:28,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,15:16,,Driver Inattention/Distraction,1
12/24/2019,16:28,BROOKLYN,Unspecified,1
12/24/2019,11:20,BROOKLYN,Driver Inexperience,1
12/24/2019,18:25,MANHATTAN,Unspecified,1
12/24/2019,18:15,BROOKLYN,Backing Unsafely,1
12/24/2019,10:20,MANHATTAN,Driver Inattention/Distraction,1
12/24/2019,17:38,,Unsafe Lane Changing,1
12/24/2019,3:15,,Unspecified,1
12/24/2019,14:45,,Failure to Yield Right-of-Way,1
12/24/2019,13:30,BRONX,Glare,1
12/24/2019,22:01,QUEENS,Driver Inattention/Distraction,1
12/24/2019,14:00,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,17:00,QUEENS,Driver Inattention/Distraction,1
12/24/2019,6:15,MANHATTAN,Passing Too Closely,1
12/24/2019,12:30,QUEENS,Unspecified,1
12/24/2019,4:45,,Unspecified,1
12/24/2019,16:30,QUEENS,Unspecified,1
12/24/2019,23:39,BROOKLYN,Failure to Yield Right-of-Way,1
12/24/2019,10:40,,Driver Inattention/Distraction,1
12/24/2019,17:20,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,14:20,MANHATTAN,Following Too Closely,1
12/24/2019,15:35,BROOKLYN,Following Too Closely,1
12/24/2019,19:32,,Passing or Lane Usage Improper,1
12/24/2019,8:19,BROOKLYN,Backing Unsafely,1
12/24/2019,20:45,BROOKLYN,Turning Improperly,1
12/24/2019,15:20,QUEENS,Unsafe Lane Changing,1
12/24/2019,6:34,STATEN ISLAND,Unspecified,1
12/24/2019,12:15,MANHATTAN,Driver Inattention/Distraction,1
12/24/2019,18:30,,Driver Inattention/Distraction,1
12/24/2019,16:00,,Unspecified,1
12/24/2019,14:51,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,11:02,,Unspecified,1
12/24/2019,8:00,,Passing Too Closely,1
12/24/2019,17:10,BRONX,Driver Inattention/Distraction,1
12/24/2019,21:40,MANHATTAN,Passing Too Closely,1
12/24/2019,12:00,QUEENS,Unspecified,1
12/24/2019,21:15,MANHATTAN,Driver Inattention/Distraction,1
12/24/2019,13:09,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,11:30,QUEENS,Failure to Yield Right-of-Way,1
12/24/2019,4:15,,Driver Inexperience,1
12/24/2019,0:00,QUEENS,Driver Inattention/Distraction,1
12/24/2019,10:12,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,15:58,BROOKLYN,,1
12/24/2019,11:50,STATEN ISLAND,Failure to Yield Right-of-Way,1
12/24/2019,12:20,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,15:30,QUEENS,Unspecified,1
12/24/2019,12:55,,Driver Inattention/Distraction,1
12/24/2019,13:48,,Driver Inattention/Distraction,1
12/24/2019,7:49,BRONX,Driver Inattention/Distraction,1
12/24/2019,9:45,BROOKLYN,Unspecified,1
12/24/2019,14:15,QUEENS,Failure to Yield Right-of-Way,1
12/24/2019,17:50,QUEENS,Passing or Lane Usage Improper,1
